#  n_B[fm^{-3}] 	 P[dyn/cm^2] 	 rho[g/cm^3] 
  2.652E-12 	   2.699E+18 	   4.402E+03
  2.699E-12 	   2.771E+18 	   4.480E+03
  2.746E-12 	   2.844E+18 	   4.559E+03
  2.795E-12 	   2.920E+18 	   4.640E+03
  2.845E-12 	   2.998E+18 	   4.722E+03
  2.895E-12 	   3.078E+18 	   4.806E+03
  2.946E-12 	   3.161E+18 	   4.891E+03
  2.998E-12 	   3.246E+18 	   4.977E+03
  3.051E-12 	   3.334E+18 	   5.065E+03
  3.106E-12 	   3.425E+18 	   5.155E+03
  3.161E-12 	   3.518E+18 	   5.246E+03
  3.216E-12 	   3.614E+18 	   5.339E+03
  3.273E-12 	   3.713E+18 	   5.434E+03
  3.331E-12 	   3.814E+18 	   5.530E+03
  3.390E-12 	   3.919E+18 	   5.628E+03
  3.450E-12 	   4.027E+18 	   5.728E+03
  3.512E-12 	   4.138E+18 	   5.829E+03
  3.574E-12 	   4.253E+18 	   5.932E+03
  3.637E-12 	   4.371E+18 	   6.037E+03
  3.701E-12 	   4.493E+18 	   6.144E+03
  3.767E-12 	   4.618E+18 	   6.253E+03
  3.834E-12 	   4.747E+18 	   6.364E+03
  3.901E-12 	   4.881E+18 	   6.476E+03
  3.971E-12 	   5.018E+18 	   6.591E+03
  4.041E-12 	   5.159E+18 	   6.708E+03
  4.112E-12 	   5.305E+18 	   6.827E+03
  4.185E-12 	   5.455E+18 	   6.948E+03
  4.259E-12 	   5.610E+18 	   7.071E+03
  4.335E-12 	   5.770E+18 	   7.196E+03
  4.412E-12 	   5.934E+18 	   7.323E+03
  4.490E-12 	   6.103E+18 	   7.453E+03
  4.569E-12 	   6.278E+18 	   7.585E+03
  4.650E-12 	   6.458E+18 	   7.719E+03
  4.732E-12 	   6.644E+18 	   7.856E+03
  4.816E-12 	   6.835E+18 	   7.995E+03
  4.901E-12 	   7.032E+18 	   8.136E+03
  4.988E-12 	   7.236E+18 	   8.280E+03
  5.077E-12 	   7.445E+18 	   8.427E+03
  5.166E-12 	   7.662E+18 	   8.576E+03
  5.258E-12 	   7.884E+18 	   8.728E+03
  5.351E-12 	   8.114E+18 	   8.883E+03
  5.446E-12 	   8.351E+18 	   9.040E+03
  5.542E-12 	   8.595E+18 	   9.200E+03
  5.640E-12 	   8.847E+18 	   9.363E+03
  5.740E-12 	   9.107E+18 	   9.529E+03
  5.842E-12 	   9.374E+18 	   9.698E+03
  5.945E-12 	   9.650E+18 	   9.869E+03
  6.051E-12 	   9.935E+18 	   1.004E+04
  6.158E-12 	   1.023E+19 	   1.022E+04
  6.267E-12 	   1.053E+19 	   1.040E+04
  6.378E-12 	   1.084E+19 	   1.059E+04
  6.491E-12 	   1.116E+19 	   1.077E+04
